LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
201,City of London,201,3,London (Inner),207,Not Close,213,Not Close,212,Not Close,202,Not Close,318,Not Close,205,Not Close,302,Not Close,314,Not Close,846,Not Close,868,Not Close,
202,Camden,202,3,London (Inner),213,Very Close,205,Close,207,Close,206,Close,212,Somewhat close,352,Not Close,203,Not Close,870,Not Close,309,Not Close,302,Not Close,
203,Greenwich,203,3,London (Outer),308,Close,301,Close,309,Somewhat close,320,Somewhat close,352,Somewhat close,870,Somewhat close,210,Somewhat close,205,Somewhat close,307,Somewhat close,315,Somewhat close,
204,Hackney,204,3,London (Inner),210,Close,208,Close,309,Close,209,Somewhat close,206,Somewhat close,320,Not Close,205,Not Close,306,Not Close,203,Not Close,308,Not Close,
205,Hammersmith and Fulham,205,3,London (Inner),212,Very Close,213,Close,202,Close,207,Close,206,Close,309,Somewhat close,203,Somewhat close,315,Somewhat close,870,Somewhat close,210,Not Close,
206,Islington,206,3,London (Inner),205,Close,202,Close,213,Somewhat close,210,Somewhat close,309,Somewhat close,204,Somewhat close,352,Somewhat close,208,Not Close,212,Not Close,203,Not Close,
207,Kensington and Chelsea,207,3,London (Inner),213,Close,205,Close,212,Close,202,Close,302,Not Close,201,Not Close,315,Not Close,870,Not Close,846,Not Close,206,Not Close,
208,Lambeth,208,3,London (Inner),204,Close,209,Close,210,Close,309,Close,306,Not Close,206,Not Close,320,Not Close,205,Not Close,308,Not Close,203,Not Close,
209,Lewisham,209,3,London (Inner),208,Close,306,Close,309,Somewhat close,320,Somewhat close,204,Somewhat close,210,Somewhat close,308,Not Close,304,Not Close,203,Not Close,205,Not Close,
210,Southwark,210,3,London (Inner),204,Close,208,Close,309,Close,206,Somewhat close,203,Somewhat close,209,Somewhat close,205,Not Close,320,Not Close,308,Not Close,306,Not Close,
211,Tower Hamlets,211,3,London (Inner),202,Not Close,316,Not Close,213,Not Close,206,Not Close,352,Not Close,204,Not Close,330,Not Close,821,Not Close,205,Not Close,309,Not Close,
212,Wandsworth,212,3,London (Inner),205,Very Close,207,Close,315,Somewhat close,213,Somewhat close,202,Somewhat close,870,Somewhat close,302,Somewhat close,846,Not Close,309,Not Close,318,Not Close,
213,Westminster,213,3,London (Inner),202,Very Close,205,Close,207,Close,206,Somewhat close,212,Somewhat close,352,Not Close,203,Not Close,870,Not Close,302,Not Close,315,Not Close,
301,Barking and Dagenham,301,3,London (Outer),203,Close,308,Somewhat close,352,Somewhat close,821,Somewhat close,330,Not Close,320,Not Close,871,Not Close,892,Not Close,331,Not Close,316,Not Close,
302,Barnet,302,3,London (Outer),315,Close,314,Close,870,Close,319,Close,312,Close,317,Close,313,Close,826,Close,307,Somewhat close,305,Somewhat close,
303,Bexley,303,3,London (Outer),311,Very Close,883,Very Close,887,Very Close,826,Close,882,Close,941,Close,886,Close,866,Close,822,Close,881,Close,
304,Brent,304,3,London (Outer),307,Somewhat close,320,Somewhat close,306,Somewhat close,309,Not Close,316,Not Close,308,Not Close,313,Not Close,871,Not Close,317,Not Close,203,Not Close,
305,Bromley,305,3,London (Outer),358,Very Close,919,Very Close,867,Very Close,319,Close,356,Close,822,Close,931,Close,334,Close,850,Close,823,Close,
306,Croydon,306,3,London (Outer),308,Close,320,Close,209,Close,309,Somewhat close,304,Somewhat close,203,Not Close,208,Not Close,330,Not Close,315,Not Close,307,Not Close,
307,Ealing,307,3,London (Outer),313,Very Close,315,Close,317,Close,312,Close,310,Close,304,Somewhat close,302,Somewhat close,871,Somewhat close,320,Somewhat close,870,Somewhat close,
308,Enfield,308,3,London (Outer),320,Close,306,Close,203,Close,309,Close,330,Somewhat close,301,Somewhat close,821,Somewhat close,870,Somewhat close,312,Somewhat close,307,Somewhat close,
309,Haringey,309,3,London (Inner),320,Close,204,Close,210,Close,308,Close,208,Close,209,Somewhat close,306,Somewhat close,203,Somewhat close,205,Somewhat close,206,Somewhat close,
310,Harrow,310,3,London (Outer),317,Close,307,Close,313,Somewhat close,312,Somewhat close,302,Somewhat close,315,Somewhat close,314,Not Close,871,Not Close,319,Not Close,304,Not Close,
311,Havering,311,3,London (Outer),303,Very Close,887,Very Close,881,Very Close,351,Very Close,886,Very Close,883,Very Close,941,Very Close,866,Very Close,888,Very Close,882,Very Close,
312,Hillingdon,312,3,London (Outer),313,Close,317,Close,871,Close,319,Close,302,Close,870,Close,307,Close,331,Close,826,Close,315,Somewhat close,
313,Hounslow,313,3,London (Outer),307,Very Close,312,Close,871,Close,317,Close,302,Close,310,Somewhat close,315,Somewhat close,870,Somewhat close,856,Somewhat close,319,Somewhat close,
314,Kingston upon Thames,314,3,London (Outer),302,Close,319,Close,315,Close,318,Somewhat close,868,Somewhat close,870,Somewhat close,936,Somewhat close,919,Somewhat close,867,Somewhat close,305,Somewhat close,
