time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202324,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,Total,115830,40911330,7287310,17.8,3773080,9.2,3514230,8.6,55520,47.9,13100,11.3
202324,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,State-funded secondary,43880,14921940,3867710,25.9,1616160,10.8,2251550,15.1,27720,63.2,8790,20
202324,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,State-funded primary,48230,17530520,1927500,11,1117730,6.4,809770,4.6,17340,35.9,1400,2.9
202324,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,State-funded alternative provision school,2270,686700,357820,52.1,167040,24.3,190780,27.8,2090,91.7,1240,54.3
202324,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,Special,21440,7772170,1134290,14.6,872150,11.2,262140,3.4,8380,39.1,1670,7.8
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,Total,7160,2564310,443550,17.3,212310,8.3,231240,9,3280,45.8,770,10.7
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,State-funded secondary,2440,843430,227200,26.9,85060,10.1,142140,16.9,1600,65.8,500,20.4
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,State-funded primary,2930,1074510,104710,9.7,58600,5.5,46110,4.3,950,32.4,60,1.9
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,State-funded alternative provision school,150,47240,26340,55.8,9350,19.8,16990,36,140,91.9,80,55.7
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,Special,1640,599130,85300,14.2,59300,9.9,26000,4.3,590,35.7,130,8
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,Total,17270,6145280,1093430,17.8,522690,8.5,570750,9.3,8170,47.3,1990,11.5
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,State-funded secondary,6600,2264110,585880,25.9,221760,9.8,364130,16.1,4140,62.7,1330,20.2
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,State-funded primary,7550,2765130,283670,10.3,157210,5.7,126460,4.6,2600,34.4,160,2.2
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,State-funded alternative provision school,400,121860,69550,57.1,29870,24.5,39680,32.6,380,94.7,240,60.7
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,Special,2720,994180,154330,15.5,113850,11.5,40480,4.1,1060,39.1,250,9.2
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,Total,11920,4206480,795560,18.9,356360,8.5,439210,10.4,5990,50.3,1490,12.5
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,State-funded secondary,4680,1600240,455210,28.4,161800,10.1,293410,18.3,3140,67,1080,23.1
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,State-funded primary,5500,1993840,224430,11.3,117450,5.9,106980,5.4,2060,37.4,160,2.9
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,State-funded alternative provision school,230,73860,33260,45,15230,20.6,18030,24.4,190,81.2,110,45.7
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,Special,1500,538540,82670,15.4,61880,11.5,20790,3.9,600,40.3,130,8.9
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,Total,8300,2943100,526790,17.9,276200,9.4,250590,8.5,3970,47.8,940,11.3
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,State-funded secondary,3420,1180970,304650,25.8,138200,11.7,166460,14.1,2150,62.9,660,19.4
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,State-funded primary,3610,1315870,136670,10.4,80240,6.1,56430,4.3,1210,33.6,90,2.4
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,State-funded alternative provision school,150,46160,24550,53.2,10850,23.5,13700,29.7,150,94.8,90,58.4
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,Special,1120,400100,60920,15.2,46920,11.7,14010,3.5,460,40.9,100,8.8
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,Total,12290,4325080,758840,17.5,400980,9.3,357860,8.3,5700,46.3,1390,11.3
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,State-funded secondary,4650,1563420,402930,25.8,174690,11.2,228240,14.6,2890,62.3,940,20.2
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,State-funded primary,5170,1878170,201370,10.7,115390,6.1,85990,4.6,1740,33.8,140,2.8
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,State-funded alternative provision school,220,63940,34370,53.7,18360,28.7,16010,25,210,94.1,120,55.4
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,Special,2260,819540,120170,14.7,92550,11.3,27620,3.4,850,37.6,190,8.3
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CINO at 31 March,Total,8790,3097940,608230,19.6,347340,11.2,260880,8.4,4470,50.8,1190,13.5
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CINO at 31 March,State-funded secondary,3040,1032340,295060,28.6,132120,12.8,162940,15.8,2020,66.5,710,23.5
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CINO at 31 March,State-funded primary,3320,1193380,160030,13.4,98210,8.2,61820,5.2,1420,42.6,170,5.1
