time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_child,Started_episodes,Started_child,Ended_episodes,Ended_child,At31_episodes,awaiting_assessment
2025,Reporting year,National,E92000001,England,,,,,,Children in Need,756120,704430,396870,371550,353720,334060,402400,16290
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children in Need,44760,41640,21930,20530,20290,19190,24470,720
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children in Need,114190,106870,58080,54570,51740,49240,62450,1470
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children in Need,77690,72110,41390,38870,37380,35460,40310,750
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children in Need,55300,51090,29460,27230,26140,24480,29160,1200
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children in Need,83420,78510,41880,39510,36760,35000,46660,2290
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children in Need,56900,53710,27640,26260,23660,22580,33230,1200
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children in Need,129300,121640,66310,62640,60480,57690,68820,2520
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children in Need,131360,120090,76510,70450,67820,62700,63540,4840
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children in Need,63200,58770,33680,31500,29430,27720,33770,1310
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children in Need,48640,45830,24060,22760,21610,20590,27020,910
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children in Need,80660,75810,42250,39880,38870,37100,41790,1610
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Children in Need,8160,7478,4272,3947,3745,3522,4415,84
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Children in Need,1770,1698,723,705,768,748,1002,8
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Children in Need,2617,2444,1116,1059,1045,985,1572,29
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Children in Need,3010,2674,1642,1488,1669,1508,1341,27
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Children in Need,4201,3794,2452,2218,2196,2060,2005,20
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Children in Need,4518,4311,1883,1794,1552,1476,2966,260
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Children in Need,2483,2369,1036,986,861,829,1622,34
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Children in Need,3960,3739,1872,1791,1830,1750,2130,45
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Children in Need,3437,3171,1863,1709,1836,1728,1601,13
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Children in Need,2287,2162,980,933,1027,997,1260,11
