time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,referral_count,rereferral_count,rereferral_percent,no_further_action_count,no_further_action_percent,not_in_need_count,not_in_need_percent,referral_child_count,rereferral_child_count,rereferral_child_percent
2025,Reporting year,National,E92000001,England,,,,,,Referrals and Re-referrals,632830,142900,22.6,41340,6.5,194620,30.8,557810,116950,21
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Referrals and Re-referrals,32490,6730,20.7,390,1.2,10160,31.3,29100,5710,19.6
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Referrals and Re-referrals,86120,18730,21.7,4420,5.1,23620,27.4,77010,15980,20.7
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Referrals and Re-referrals,63590,13790,21.7,3730,5.9,18470,29,56770,11620,20.5
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Referrals and Re-referrals,53190,13120,24.7,4710,8.9,19020,35.8,46280,10710,23.1
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Referrals and Re-referrals,62720,12220,19.5,1610,2.6,19230,30.7,56730,10530,18.6
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Referrals and Re-referrals,44610,8660,19.4,2610,5.8,14360,32.2,40250,7430,18.5
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Referrals and Re-referrals,105790,20520,19.4,8410,7.9,31080,29.4,95240,17370,18.2
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Referrals and Re-referrals,132360,37630,28.4,12160,9.2,43690,33,110070,27790,25.2
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Referrals and Re-referrals,51970,11500,22.1,3300,6.3,14990,28.8,46360,9810,21.2
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Referrals and Re-referrals,38810,7420,19.1,3250,8.4,11510,29.6,34970,6350,18.2
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Referrals and Re-referrals,66980,13110,19.6,5160,7.7,19570,29.2,60270,11020,18.3
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Referrals and Re-referrals,5378,1003,18.7,0,0,1106,20.6,4860,861,17.7
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Referrals and Re-referrals,1117,145,13,162,14.5,232,20.8,1054,132,12.5
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Referrals and Re-referrals,1613,224,13.9,15,0.9,482,29.9,1508,217,14.4
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Referrals and Re-referrals,2020,536,26.5,12,0.6,366,18.1,1762,440,25
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Referrals and Re-referrals,3636,921,25.3,134,3.7,1050,28.9,3041,718,23.6
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Referrals and Re-referrals,3134,539,17.2,28,0.9,1223,39,2887,472,16.3
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Referrals and Re-referrals,1893,468,24.7,c,c,853,45.1,1694,389,23
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Referrals and Re-referrals,3013,604,20,27,0.9,1114,37,2722,517,19
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Referrals and Re-referrals,1967,287,14.6,c,c,103,5.2,1795,263,14.7
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Referrals and Re-referrals,1562,268,17.2,c,c,578,37,1460,241,16.5
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Referrals and Re-referrals,3959,1140,28.8,c,c,2034,51.4,3427,951,27.8
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Referrals and Re-referrals,3193,590,18.5,0,0,1023,32,2892,508,17.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Referrals and Re-referrals,2806,604,21.5,115,4.1,883,31.5,2513,519,20.7
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Referrals and Re-referrals,2707,634,23.4,0,0,958,35.4,2349,531,22.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Referrals and Re-referrals,3803,778,20.5,212,5.6,639,16.8,3425,662,19.3
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Referrals and Re-referrals,2905,755,26,108,3.7,470,16.2,2473,601,24.3
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Referrals and Re-referrals,2599,410,15.8,113,4.3,651,25,2391,358,15
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Referrals and Re-referrals,3529,810,23,380,10.8,1216,34.5,3163,694,21.9
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Referrals and Re-referrals,3367,764,22.7,159,4.7,1449,43,2967,659,22.2
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Referrals and Re-referrals,1717,327,19,26,1.5,543,31.6,1577,283,17.9
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Referrals and Re-referrals,1547,240,15.5,59,3.8,244,15.8,1420,222,15.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Referrals and Re-referrals,7948,1293,16.3,243,3.1,1984,25,7306,1145,15.7
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Referrals and Re-referrals,8410,2569,30.5,1136,13.5,3380,40.2,7176,2085,29.1
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Referrals and Re-referrals,6342,1164,18.4,398,6.3,647,10.2,5779,1018,17.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Referrals and Re-referrals,4196,887,21.1,70,1.7,634,15.1,3809,773,20.3
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Referrals and Re-referrals,2768,477,17.2,199,7.2,305,11,2552,429,16.8
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Referrals and Re-referrals,3917,915,23.4,0,0,1621,41.4,3534,785,22.2
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Referrals and Re-referrals,3764,987,26.2,229,6.1,1217,32.3,3267,816,25
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Referrals and Re-referrals,2207,438,19.8,146,6.6,741,33.6,1989,380,19.1
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Referrals and Re-referrals,3676,792,21.5,157,4.3,859,23.4,3282,673,20.5
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Referrals and Re-referrals,4943,1368,27.7,85,1.7,1655,33.5,4256,1137,26.7
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Referrals and Re-referrals,1879,339,18,67,3.6,430,22.9,1705,309,18.1
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Referrals and Re-referrals,2095,354,16.9,18,0.9,647,30.9,1923,312,16.2
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Referrals and Re-referrals,1505,248,16.5,156,10.4,395,26.2,1379,219,15.9
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Referrals and Re-referrals,3437,678,19.7,42,1.2,644,18.7,3126,603,19.3
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Referrals and Re-referrals,4056,900,22.2,305,7.5,1408,34.7,3648,762,20.9
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Referrals and Re-referrals,3241,825,25.5,269,8.3,1289,39.8,2803,709,25.3
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Referrals and Re-referrals,7450,1709,22.9,835,11.2,2022,27.1,6666,1441,21.6
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Referrals and Re-referrals,2665,543,20.4,0,0,346,13,2363,467,19.8
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Referrals and Re-referrals,5665,1664,29.4,731,12.9,2930,51.7,4791,1307,27.3
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Referrals and Re-referrals,2517,413,16.4,0,0,124,4.9,2298,356,15.5
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Referrals and Re-referrals,4696,1019,21.7,238,5.1,892,19,4246,875,20.6
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Referrals and Re-referrals,3277,644,19.7,86,2.6,244,7.4,2992,555,18.5
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Referrals and Re-referrals,10304,2494,24.2,1027,10,4384,42.5,9016,2060,22.8
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Referrals and Re-referrals,2002,429,21.4,0,0,582,29.1,1821,376,20.6
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Referrals and Re-referrals,1483,208,14,0,0,563,38,1382,183,13.2
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Referrals and Re-referrals,5642,1115,19.8,c,c,1141,20.2,5105,973,19.1
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Referrals and Re-referrals,2909,570,19.6,287,9.9,1218,41.9,2589,490,18.9
