time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,population_type,population_estimate,children_count,rate_per_10000
2025,Reporting year,National,E92000001,England,,,,,,Children ceasing to be looked after each year,12183016,34450,28
2025,Reporting year,National,E92000001,England,,,,,,Children looked after on 31 March each year,12183016,81770,67
2025,Reporting year,National,E92000001,England,,,,,,Children starting to be looked after each year,12183016,32270,26
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children ceasing to be looked after each year,542710,2420,45
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after on 31 March each year,542710,6040,111
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children starting to be looked after each year,542710,2350,43
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children ceasing to be looked after each year,1627558,5280,32
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after on 31 March each year,1627558,14620,90
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children starting to be looked after each year,1627558,4800,29
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children ceasing to be looked after each year,1181103,3540,30
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after on 31 March each year,1181103,9080,77
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children starting to be looked after each year,1181103,3310,28
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children ceasing to be looked after each year,1032130,2580,25
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after on 31 March each year,1032130,6410,62
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children starting to be looked after each year,1032130,2390,23
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children ceasing to be looked after each year,1351245,3730,28
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after on 31 March each year,1351245,11560,86
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children starting to be looked after each year,1351245,3350,25
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children ceasing to be looked after each year,1394026,2560,18
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after on 31 March each year,1394026,6800,49
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children starting to be looked after each year,1394026,2460,18
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children ceasing to be looked after each year,1916086,4700,25
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after on 31 March each year,1916086,9290,48
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children starting to be looked after each year,1916086,4260,22
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children ceasing to be looked after each year,2023914,6920,34
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after on 31 March each year,2023914,11050,55
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children starting to be looked after each year,2023914,6730,33
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children ceasing to be looked after each year,1114244,2720,24
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children looked after on 31 March each year,1114244,6920,62
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children starting to be looked after each year,1114244,2610,23
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children ceasing to be looked after each year,639273,1970,31
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children looked after on 31 March each year,639273,3790,59
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children starting to be looked after each year,639273,1750,27
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children ceasing to be looked after each year,1276813,2730,21
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children looked after on 31 March each year,1276813,5500,43
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children starting to be looked after each year,1276813,2510,20
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children ceasing to be looked after each year,21090,131,62
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children looked after on 31 March each year,21090,332,157
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children starting to be looked after each year,21090,126,60
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children ceasing to be looked after each year,35617,193,54
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children looked after on 31 March each year,35617,493,138
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children starting to be looked after each year,35617,172,48
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children ceasing to be looked after each year,27499,197,72
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children looked after on 31 March each year,27499,397,144
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children starting to be looked after each year,27499,175,64
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children ceasing to be looked after each year,45079,180,40
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children looked after on 31 March each year,45079,564,125
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children starting to be looked after each year,45079,161,36
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children ceasing to be looked after each year,22771,95,42
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children looked after on 31 March each year,22771,266,117
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children starting to be looked after each year,22771,60,26
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children ceasing to be looked after each year,100432,477,47
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children looked after on 31 March each year,100432,1183,118
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children starting to be looked after each year,100432,450,45
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children ceasing to be looked after each year,59056,200,34
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children looked after on 31 March each year,59056,456,77
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children starting to be looked after each year,59056,225,38
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children ceasing to be looked after each year,61206,206,34
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children looked after on 31 March each year,61206,654,107
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children starting to be looked after each year,61206,264,43
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children ceasing to be looked after each year,42263,151,36
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children looked after on 31 March each year,42263,385,91
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children starting to be looked after each year,42263,182,43
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children ceasing to be looked after each year,30513,141,46
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children looked after on 31 March each year,30513,295,97
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children starting to be looked after each year,30513,124,41
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children ceasing to be looked after each year,56770,250,44
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children looked after on 31 March each year,56770,510,90
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children starting to be looked after each year,56770,231,41
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children ceasing to be looked after each year,40414,203,50
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children looked after on 31 March each year,40414,503,124
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children starting to be looked after each year,40414,177,44
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children ceasing to be looked after each year,27739,127,46
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children looked after on 31 March each year,27739,367,132
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children starting to be looked after each year,27739,112,40
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children ceasing to be looked after each year,44799,146,33
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children looked after on 31 March each year,44799,310,69
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children starting to be looked after each year,44799,101,23
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children ceasing to be looked after each year,41804,148,35
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children looked after on 31 March each year,41804,375,90
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children starting to be looked after each year,41804,173,41
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children ceasing to be looked after each year,28923,159,55
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children looked after on 31 March each year,28923,531,184
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children starting to be looked after each year,28923,165,57
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children ceasing to be looked after each year,83041,215,26
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children looked after on 31 March each year,83041,550,66
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children starting to be looked after each year,83041,222,27
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children ceasing to be looked after each year,71565,159,22
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children looked after on 31 March each year,71565,584,82
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children starting to be looked after each year,71565,172,24
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,Children ceasing to be looked after each year,52489,207,39
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,Children looked after on 31 March each year,52489,458,87
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,Children starting to be looked after each year,52489,182,35
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,943,Westmorland and Furness,E06000064,Children ceasing to be looked after each year,39153,91,23
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,943,Westmorland and Furness,E06000064,Children looked after on 31 March each year,39153,261,67
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,943,Westmorland and Furness,E06000064,Children starting to be looked after each year,39153,105,27
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children ceasing to be looked after each year,75599,202,27
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children looked after on 31 March each year,75599,590,78
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children starting to be looked after each year,75599,220,29
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children ceasing to be looked after each year,44768,105,23
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children looked after on 31 March each year,44768,368,82
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children starting to be looked after each year,44768,127,28
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children ceasing to be looked after each year,131831,523,40
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children looked after on 31 March each year,131831,1280,97
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children starting to be looked after each year,131831,497,38
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children ceasing to be looked after each year,64069,208,32
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children looked after on 31 March each year,64069,582,91
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children starting to be looked after each year,64069,197,31
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children ceasing to be looked after each year,58087,188,32
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children looked after on 31 March each year,58087,594,102
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children starting to be looked after each year,58087,176,30
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children ceasing to be looked after each year,63622,157,25
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children looked after on 31 March each year,63622,563,88
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children starting to be looked after each year,63622,157,25
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children ceasing to be looked after each year,64910,190,29
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children looked after on 31 March each year,64910,485,75
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children starting to be looked after each year,64910,184,28
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children ceasing to be looked after each year,52901,229,43
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children looked after on 31 March each year,52901,652,123
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children starting to be looked after each year,52901,236,45
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children ceasing to be looked after each year,56737,144,25
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children looked after on 31 March each year,56737,353,62
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children starting to be looked after each year,56737,119,21
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children ceasing to be looked after each year,71697,263,37
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children looked after on 31 March each year,71697,652,91
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children starting to be looked after each year,71697,183,26
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children ceasing to be looked after each year,36039,105,29
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children looked after on 31 March each year,36039,325,90
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children starting to be looked after each year,36039,92,26
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children ceasing to be looked after each year,97802,483,49
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children looked after on 31 March each year,97802,1416,145
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children starting to be looked after each year,97802,411,42
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children ceasing to be looked after each year,37608,174,46
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children looked after on 31 March each year,37608,440,117
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children starting to be looked after each year,37608,124,33
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children ceasing to be looked after each year,54760,241,44
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children looked after on 31 March each year,54760,506,92
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children starting to be looked after each year,54760,164,30
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children ceasing to be looked after each year,66223,250,38
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children looked after on 31 March each year,66223,681,103
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children starting to be looked after each year,66223,160,24
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children ceasing to be looked after each year,x,z,z
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children looked after on 31 March each year,x,z,z
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children starting to be looked after each year,x,z,z
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children ceasing to be looked after each year,261392,569,22
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children looked after on 31 March each year,261392,1699,65
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children starting to be looked after each year,261392,517,20
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children ceasing to be looked after each year,62379,288,46
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children looked after on 31 March each year,62379,742,119
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children starting to be looked after each year,62379,281,45
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children ceasing to be looked after each year,63023,145,23
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children looked after on 31 March each year,63023,363,58
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children starting to be looked after each year,63023,156,25
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children ceasing to be looked after each year,33522,128,38
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children looked after on 31 March each year,33522,438,131
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children starting to be looked after each year,33522,97,29
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children ceasing to be looked after each year,34675,88,25
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children looked after on 31 March each year,34675,215,62
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children starting to be looked after each year,34675,97,28
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children ceasing to be looked after each year,34758,76,22
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children looked after on 31 March each year,34758,240,69
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children starting to be looked after each year,34758,72,21
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E06000065,Children ceasing to be looked after each year,115721,188,16
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E06000065,Children looked after on 31 March each year,115721,561,48
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E06000065,Children starting to be looked after each year,115721,242,21
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children ceasing to be looked after each year,51799,207,40
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children looked after on 31 March each year,51799,366,71
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children starting to be looked after each year,51799,163,31
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children ceasing to be looked after each year,68271,256,37
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children looked after on 31 March each year,68271,504,74
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children starting to be looked after each year,68271,233,34
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children ceasing to be looked after each year,59521,191,32
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children looked after on 31 March each year,59521,476,80
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children starting to be looked after each year,59521,165,28
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children ceasing to be looked after each year,116279,371,32
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children looked after on 31 March each year,116279,624,54
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children starting to be looked after each year,116279,338,29
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children ceasing to be looked after each year,142483,465,33
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children looked after on 31 March each year,142483,1366,96
