time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202324,Academic year,National,E92000001,England,,,,,,CINO at 31 March,Revised,10130,4500,44,10040,3920,39,10130,4040,40,10040,2990,30,10130,4090,40,10040,4820,48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,Revised,690,300,44,690,270,40,690,290,42,690,220,32,690,280,40,690,320,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,Revised,1520,680,45,1520,600,40,1520,630,41,1520,450,30,1520,630,41,1520,750,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,Revised,1020,450,44,1020,400,39,1020,420,41,1010,310,30,1020,400,40,1020,500,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,Revised,760,370,48,760,320,42,760,340,44,760,240,31,760,350,45,760,410,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,Revised,1100,480,44,1100,420,38,1100,420,38,1100,320,29,1100,460,41,1100,500,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,Revised,790,280,35,790,240,31,790,270,34,790,190,24,790,250,32,790,300,38,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,Revised,1800,910,51,1800,810,45,1800,850,47,1800,660,37,1800,860,47,1800,940,52,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,Revised,1580,670,42,1580,560,35,1580,540,34,1580,390,25,1580,570,36,1570,730,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,Revised,810,360,44,810,300,37,810,300,37,810,220,27,810,310,38,810,380,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,Revised,720,400,56,720,370,51,720,380,52,720,310,42,720,380,53,720,420,59,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,Revised,1080,510,47,1080,440,41,1080,470,44,1080,350,33,1080,480,44,1080,510,48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,Revised,88,32,36,87,35,40,88,29,33,87,25,29,88,32,36,87,41,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,Revised,33,19,58,33,15,45,33,14,42,33,12,36,33,15,45,33,19,58,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,Revised,31,13,42,31,10,32,31,12,39,31,8,26,31,10,32,31,13,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,Revised,50,27,54,50,26,52,50,26,52,50,24,48,50,26,52,50,27,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,Revised,47,26,55,47,20,43,47,24,51,47,17,36,47,17,36,47,26,55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,Revised,76,28,37,76,27,36,76,28,37,76,21,28,76,28,37,76,28,37,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,Revised,53,27,51,53,20,38,53,26,49,53,15,28,53,26,49,53,27,51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,Revised,91,28,31,91,23,25,91,27,30,91,18,20,91,27,30,91,32,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,Revised,47,22,47,47,20,43,47,22,47,47,15,32,47,18,38,47,20,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,Revised,31,17,55,31,17,55,31,15,48,31,13,42,31,18,58,31,18,58,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,Revised,84,36,43,84,37,44,84,37,44,84,30,36,84,34,40,84,41,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,Revised,55,26,47,55,23,42,55,25,45,55,20,36,55,25,45,55,27,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,Revised,44,16,36,44,14,32,44,16,36,44,10,23,44,17,39,44,20,45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,Revised,35,17,49,35,16,46,35,18,51,35,13,37,35,16,46,35,18,51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CINO at 31 March,Revised,38,21,55,38,17,45,38,14,37,38,9,24,38,17,45,38,23,61,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CINO at 31 March,Revised,30,18,60,30,18,60,30,17,57,30,15,50,30,18,60,30,18,60,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CINO at 31 March,Revised,38,20,53,38,12,32,38,19,50,38,12,32,38,16,42,38,15,39,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CINO at 31 March,Revised,68,36,53,68,28,41,68,29,43,68,21,31,68,33,49,68,34,50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,CINO at 31 March,Revised,41,15,37,41,13,32,41,10,24,41,9,22,41,14,34,41,20,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CINO at 31 March,Revised,32,16,50,32,14,44,32,12,38,32,12,38,32,15,47,32,16,50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
