time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202425,Academic year,National,E92000001,England,,,,,,CINO at 31 March,Revised,13260,228722.25,17.3,1280,9.7,2410,18.1,1550,11.7,19176.53,1.45,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,Revised,670,10148.5,15.1,50,8,110,15.6,50,7.9,833.29,1.24,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,Revised,1940,32943.25,17,180,9.2,330,16.8,210,10.6,2708.08,1.4,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,Revised,1290,23231,18,130,9.7,250,19.7,170,12.8,1939.3,1.5,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,Revised,860,13710.5,16,70,7.6,140,16.8,70,8.7,1136.32,1.33,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,Revised,1360,21862,16.1,100,7.1,190,14.3,120,9,1794.62,1.32,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,Revised,1010,13342.5,13.2,60,6.3,150,14.4,90,8.4,1115.88,1.11,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,Revised,2570,51713.25,20.1,330,12.8,590,23,480,18.8,4439.29,1.73,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,Revised,2350,41370.25,17.6,260,10.8,430,18.4,250,10.8,3484.81,1.48,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,Revised,1140,19259,16.8,120,10.1,210,18.3,90,8.2,1617.78,1.42,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,Revised,1070,22838.75,21.3,140,13.2,260,24.1,230,21.5,1966.52,1.83,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,Revised,1490,28874.5,19.3,190,12.4,330,22.2,250,16.9,2472.77,1.66,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,Revised,90,1232,13.7,6,6.7,15,16.7,c,c,98.32,1.09,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,Revised,31,356.5,11.5,c,c,c,c,c,c,26.51,0.86,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,Revised,51,889.25,17.4,7,13.7,10,19.6,9,17.6,79.32,1.56,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,Revised,30,511.75,17.1,c,c,6,20,c,c,42.01,1.4,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,Revised,43,584.5,13.6,c,c,c,c,c,c,44.84,1.04,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,Revised,102,1492,14.6,7,6.9,16,15.7,15,14.7,123.49,1.21,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,Revised,59,912,15.5,c,c,8,13.6,c,c,75.52,1.28,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,Revised,66,659.75,10,c,c,7,10.6,c,c,53.33,0.81,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,Revised,43,846.5,19.7,c,c,9,20.9,c,c,67.8,1.58,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,Revised,34,497,14.6,c,c,c,c,c,c,40.48,1.19,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,Revised,62,1008.5,16.3,c,c,10,16.1,c,c,86.99,1.4,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,Revised,61,1158.75,19,7,11.5,13,21.3,c,c,94.68,1.55,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,Revised,46,905.75,19.7,6,13,8,17.4,7,15.2,78.83,1.71,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,Revised,56,692.25,12.4,6,10.7,7,12.5,c,c,59.85,1.07,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CINO at 31 March,Revised,59,1184.5,20.1,8,13.6,13,22,7,11.9,96.48,1.64,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CINO at 31 March,Revised,60,890.25,14.8,7,11.7,10,16.7,c,c,71.64,1.19,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CINO at 31 March,Revised,73,1656,22.7,7,9.6,16,21.9,9,12.3,131.51,1.8,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CINO at 31 March,Revised,65,1025,15.8,c,c,8,12.3,6,9.2,85.37,1.31,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,CINO at 31 March,Revised,55,795,14.5,c,c,9,16.4,c,c,67.2,1.22,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CINO at 31 March,Revised,44,959.5,21.8,7,15.9,11,25,c,c,81.37,1.85,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CINO at 31 March,Revised,38,465.5,12.3,c,c,6,15.8,6,15.8,39,1.03,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CINO at 31 March,Revised,278,4295.25,15.5,18,6.5,42,15.1,25,9,351.04,1.26,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CINO at 31 March,Revised,111,1920.5,17.3,11,9.9,20,18,16,14.4,156.51,1.41,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CINO at 31 March,Revised,162,2678.75,16.5,12,7.4,27,16.7,22,13.6,221.34,1.37,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CINO at 31 March,Revised,79,1550.25,19.6,10,12.7,15,19,7,8.9,124.32,1.57,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CINO at 31 March,Revised,101,1659.5,16.4,6,5.9,13,12.9,12,11.9,137.19,1.36,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CINO at 31 March,Revised,89,1537.5,17.3,10,11.2,17,19.1,13,14.6,127.06,1.43,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CINO at 31 March,Revised,79,1476.5,18.7,11,13.9,15,19,11,13.9,121.69,1.54,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CINO at 31 March,Revised,47,524.5,11.2,c,c,c,c,c,c,40.65,0.86,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CINO at 31 March,Revised,107,1453.75,13.6,6,5.6,11,10.3,c,c,114.18,1.07,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CINO at 31 March,Revised,90,1889.5,21,10,11.1,18,20,12,13.3,161.5,1.79,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CINO at 31 March,Revised,47,1074.5,22.9,10,21.3,15,31.9,6,12.8,90.62,1.93,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CINO at 31 March,Revised,49,1063,21.7,6,12.2,11,22.4,12,24.5,93.66,1.91,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,943,Westmorland and Furness,E06000064,CINO at 31 March,Revised,38,395.5,10.4,c,c,c,c,c,c,32.34,0.85,x,x,x,x,x
