Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),,,E92000001,England,England,Persons,<15 yrs,,,2010/11,115.2166797,114.5287223,115.9077445,,,107429,9324084,,,Not compared,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E92000001,England,England,Persons,<15 yrs,,,2010/11,115.2166797,114.5287223,115.9077445,,,107429,9324084,,,Similar,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000001,Hartlepool,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,158.5680822,140.0148639,178.895452,,,264,16649,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000002,Middlesbrough,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,172.5454268,157.0029324,189.2101985,,,452,26196,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000003,Redcar and Cleveland,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,173.4973887,156.7449271,191.5525168,,,392,22594,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000004,Stockton-on-Tees,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,160.1067378,147.0269752,174.0379732,,,552,34477,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000005,Darlington,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,173.8344586,155.5011357,193.7348582,,,327,18811,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000006,Halton,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,168.5926181,152.2934745,186.1608661,,,391,23192,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000007,Warrington,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,133.5994235,121.9369264,146.0764032,,,482,36078,,,Worse,Not compared,20100000,New data,,1y
90284,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0 to 14 years),E92000001,England,E06000008,Blackburn with Darwen,Counties & UAs (from Apr 2023),Persons,<15 yrs,,,2010/11,145.8947695,133.0011323,159.7007288,,,470,32215,,,Worse,Not compared,20100000,New data,,1y
