time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202223,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,Total,120300,41250570,7249030,17.6,3858660,9.4,3390370,8.2,58670,48.8,12530,10.4
202223,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,State-funded secondary,46740,15339540,3899150,25.4,1690780,11,2208370,14.4,29700,63.5,8670,18.5
202223,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,State-funded primary,50150,17797500,1943910,10.9,1165410,6.5,778500,4.4,18390,36.7,1240,2.5
202223,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,State-funded AP school,2030,592150,297900,50.3,138780,23.4,159120,26.9,1860,92,1050,51.8
202223,Academic year,National,E92000001,England,,,,,,Six half terms,CINO at 31 March,Special,21390,7521380,1108070,14.7,863700,11.5,244380,3.2,8720,40.8,1570,7.4
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,Total,7310,2558510,431610,16.9,212230,8.3,219380,8.6,3400,46.5,730,9.9
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,State-funded secondary,2610,884300,231150,26.1,89470,10.1,141680,16,1690,64.7,500,19.2
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,State-funded primary,2950,1057390,102950,9.7,59060,5.6,43890,4.2,1020,34.6,50,1.6
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,State-funded AP school,140,41870,21240,50.7,8600,20.5,12640,30.2,130,93.5,70,52.5
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Six half terms,CINO at 31 March,Special,1610,574960,76270,13.3,55100,9.6,21180,3.7,560,35,100,6.4
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,Total,16750,5617310,993180,17.7,486640,8.7,506540,9,8120,48.5,1760,10.5
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,State-funded secondary,6630,2133620,532750,25,212650,10,320100,15,4130,62.3,1180,17.9
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,State-funded primary,7130,2474060,256530,10.4,144470,5.8,112060,4.5,2580,36.2,120,1.6
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,State-funded AP school,340,100310,58690,58.5,24980,24.9,33720,33.6,330,95.6,210,62.3
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Six half terms,CINO at 31 March,Special,2660,909330,145200,16,104540,11.5,40660,4.5,1090,40.9,240,9.2
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,Total,12160,4170040,750270,18,343000,8.2,407270,9.8,5950,49,1360,11.2
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,State-funded secondary,4960,1637410,443490,27.1,161720,9.9,281770,17.2,3260,65.7,1020,20.6
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,State-funded primary,5570,1972750,206880,10.5,115200,5.8,91680,4.6,1970,35.4,120,2.2
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,State-funded AP school,190,60550,25770,42.6,8820,14.6,16950,28,160,83.3,90,45.8
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Six half terms,CINO at 31 March,Special,1430,499330,74140,14.8,57260,11.5,16870,3.4,560,39.4,130,8.9
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Six half terms,CINO at 31 March,Total,8550,2971010,515250,17.3,275800,9.3,239450,8.1,4050,47.4,900,10.5
