time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202223,Academic year,National,E92000001,England,,,,,,CINO at 31 March,Revised,10780,4600,43,10620,4160,39,10780,4250,39,10620,3030,29,10780,4370,41,10620,5040,47,9660,-23284.01,-2.41,-2.54,-2.28,9770,-24049.63,-2.46,-2.58,-2.34,9610,-26660.46,-2.77,-2.89,-2.65
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,Revised,650,290,45,640,270,42,650,290,44,640,200,31,650,290,45,640,320,49,600,-1711.96,-2.88,-3.38,-2.37,600,-1627.02,-2.72,-3.21,-2.24,590,-1524.59,-2.58,-3.06,-2.1
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,Revised,1460,650,45,1450,560,39,1460,600,41,1450,410,28,1460,630,43,1450,690,48,1340,-2445.9,-1.83,-2.17,-1.49,1350,-2993.1,-2.22,-2.54,-1.89,1330,-3154.83,-2.37,-2.69,-2.05
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,Revised,1100,500,45,1100,450,41,1100,470,42,1100,330,30,1100,470,42,1100,550,50,1020,-2324.86,-2.29,-2.67,-1.9,1020,-2213.94,-2.17,-2.54,-1.8,1010,-2256.69,-2.25,-2.61,-1.88
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,Revised,740,330,44,740,290,39,740,310,42,740,210,29,740,310,41,740,360,48,680,-1574.22,-2.31,-2.78,-1.84,690,-1622.07,-2.35,-2.81,-1.9,680,-1652.99,-2.43,-2.88,-1.99
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,Revised,1240,530,43,1240,500,40,1240,490,40,1240,350,28,1240,520,42,1240,590,48,1110,-2330.2,-2.09,-2.46,-1.72,1130,-2114.12,-1.88,-2.23,-1.52,1100,-2648.53,-2.4,-2.75,-2.05
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,Revised,790,270,34,780,240,31,790,250,31,780,160,20,790,240,30,780,300,38,670,-2099.47,-3.16,-3.64,-2.68,680,-2230.4,-3.28,-3.73,-2.82,670,-2465.56,-3.71,-4.16,-3.26
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,Revised,1790,820,46,1790,760,42,1790,780,44,1790,600,33,1790,780,43,1790,880,49,1580,-2970.26,-1.88,-2.19,-1.57,1600,-2737.39,-1.71,-2.01,-1.41,1580,-3320.81,-2.1,-2.39,-1.81
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,Revised,2010,840,42,2010,740,37,2010,710,36,2010,530,27,2010,780,39,2000,930,46,1810,-5389.39,-2.98,-3.27,-2.69,1830,-5794.85,-3.18,-3.45,-2.9,1800,-6947.25,-3.86,-4.13,-3.58
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,Revised,970,380,39,970,350,36,970,350,36,970,240,25,970,370,38,960,430,45,870,-2437.76,-2.81,-3.23,-2.4,880,-2716.74,-3.09,-3.49,-2.69,850,-2689.21,-3.15,-3.55,-2.75
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,Revised,720,380,52,720,350,49,720,370,51,720,300,41,720,360,50,720,400,55,650,-1177.65,-1.81,-2.29,-1.33,660,-900.45,-1.37,-1.83,-0.91,650,-1150.22,-1.77,-2.23,-1.32
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,Revised,1060,440,41,1060,400,38,1070,420,39,1060,300,28,1070,420,39,1060,480,45,930,-1792.61,-1.93,-2.33,-1.52,940,-1836.95,-1.95,-2.34,-1.56,930,-2170.59,-2.32,-2.7,-1.94
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,Revised,88,30,34,87,24,28,88,31,35,87,18,21,88,29,33,87,31,36,83,-349.74,-4.21,-5.57,-2.86,82,-368.8,-4.5,-5.81,-3.19,83,-322.25,-3.88,-5.15,-2.61
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,Revised,41,19,46,41,23,56,41,20,49,41,14,34,41,22,54,41,26,63,39,-101.17,-2.59,-4.57,-0.62,39,-51.04,-1.31,-3.21,0.59,38,-94.49,-2.49,-4.37,-0.61
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,Revised,48,23,48,48,20,42,48,21,44,48,18,38,48,20,42,48,24,50,43,-140,-3.26,-5.14,-1.38,44,-168.63,-3.83,-5.62,-2.05,43,-126.4,-2.94,-4.71,-1.17
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,Revised,40,18,45,40,17,43,40,19,48,40,13,33,40,19,48,40,24,60,37,-124.64,-3.37,-5.4,-1.34,38,-97.82,-2.57,-4.5,-0.65,37,-89.64,-2.42,-4.33,-0.52
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,Revised,30,14,47,30,17,57,30,15,50,30,11,37,30,14,47,30,11,37,30,-55.19,-1.84,-4.09,0.41,30,-14.53,-0.48,-2.65,1.68,30,-17.95,-0.6,-2.71,1.52
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,Revised,79,35,44,79,27,34,79,32,41,79,22,28,79,36,46,79,37,47,68,-99.88,-1.47,-2.96,0.03,69,-99.33,-1.44,-2.87,-0.01,68,-118.43,-1.74,-3.15,-0.34
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,Revised,38,16,42,37,15,41,38,15,39,37,12,32,38,15,39,37,16,43,34,-179.81,-5.29,-7.4,-3.17,34,-160.15,-4.71,-6.74,-2.68,34,-154.39,-4.54,-6.53,-2.55
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,Revised,73,35,48,73,28,38,73,31,42,73,24,33,73,30,41,73,40,55,67,-248.27,-3.71,-5.21,-2.2,68,-302.72,-4.45,-5.89,-3.01,66,-203.55,-3.08,-4.51,-1.66
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,Revised,36,18,50,36,16,44,36,20,56,36,13,36,36,20,56,36,19,53,35,-82.35,-2.35,-4.44,-0.27,33,-94.86,-2.87,-4.94,-0.81,34,-55.91,-1.64,-3.63,0.34
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,Revised,33,15,45,33,15,45,33,15,45,33,11,33,33,17,52,33,16,48,30,-81,-2.7,-4.95,-0.45,30,-40.91,-1.36,-3.53,0.8,30,-94.16,-3.14,-5.26,-1.02
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,Revised,75,36,48,75,36,48,75,37,49,75,23,31,75,35,47,75,39,52,71,-147.79,-2.08,-3.54,-0.62,72,-161.5,-2.24,-3.64,-0.85,71,-162.32,-2.29,-3.66,-0.91
