time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202324,Academic year,National,E92000001,England,,,,,,CINO at 31 March,Revised,12770,226705.51,17.8,1280,10,2410,18.9,1520,11.9,18986.78,1.49,10970,-17451.395,-1.59,-1.62,-1.57
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,Revised,740,10896.5,14.8,50,7.1,100,14.1,60,7.9,906.8,1.23,650,-1122.179,-1.74,-1.85,-1.63
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,Revised,1790,32652.25,18.2,160,9.2,350,19.3,220,12.5,2716.76,1.52,1570,-2648.76,-1.68,-1.75,-1.61
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,Revised,1200,20094.25,16.8,110,8.8,200,17,140,11.6,1680.22,1.4,1070,-1812.901,-1.69,-1.78,-1.61
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,Revised,930,16639.25,17.9,80,8.4,170,17.8,120,12.9,1415.31,1.53,830,-1311.997,-1.59,-1.68,-1.49
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,Revised,1370,23869.75,17.4,130,9.1,240,17.4,130,9.3,1941.38,1.42,1190,-1904.603,-1.6,-1.68,-1.51
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,Revised,1000,14761.25,14.8,90,8.5,160,16.4,80,7.6,1223.07,1.23,850,-1439.598,-1.7,-1.8,-1.61
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,Revised,2610,53445.38,20.5,370,14.1,630,24.2,490,18.7,4569.61,1.75,2180,-3116.542,-1.43,-1.49,-1.37
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,Revised,1950,33578.63,17.2,200,10.1,360,18.5,180,9,2790.66,1.43,1650,-2577.745,-1.56,-1.63,-1.49
202324,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,Revised,1120,19599.75,17.5,110,9.5,190,16.9,100,8.7,1634.29,1.46,980,-1517.07,-1.56,-1.64,-1.47
